abbr,band,role,combined_mw,max_tip_credit,cash_wage,credit_kind,tipped_def,notes,source_id,authority
FED,federal,default,7.25,5.12,2.13,flsa,more_than_30_month,FLSA §3(m)(2)(A) max credit $7.25−$2.13; OT cash = MW×1.5 − credit,DOL-WHD-TIP-2026-07-01,DOL WHD Minimum Wages for Tipped Employees 2026-07-01; 29 CFR 531.60
AL,statewide,default,7.25,5.12,2.13,flsa,more_than_30_month,No state MW; FLSA cash $2.13,DOL-WHD-TIP-2026-07-01,DOL WHD Minimum Wages for Tipped Employees 2026-07-01
AK,statewide,default,14.00,0.00,14.00,none,,No tip credit; cash = full state MW,DOL-WHD-TIP-2026-07-01,DOL WHD Minimum Wages for Tipped Employees 2026-07-01
AZ,statewide,default,15.15,3.00,12.15,reduced,not_specified,Indexed; $3.00 max credit,DOL-WHD-TIP-2026-07-01,DOL WHD Minimum Wages for Tipped Employees 2026-07-01
AR,statewide,default,11.00,8.37,2.63,reduced,not_specified,Cash $2.63,DOL-WHD-TIP-2026-07-01,DOL WHD Minimum Wages for Tipped Employees 2026-07-01
CA,statewide,default,16.90,0.00,16.90,none,,No tip credit; cash = full state MW,DOL-WHD-TIP-2026-07-01,DOL WHD Minimum Wages for Tipped Employees 2026-07-01
CO,statewide,default,15.16,3.02,12.14,reduced,more_than_30_month,COMPS; $3.02 max credit,DOL-WHD-TIP-2026-07-01,DOL WHD Minimum Wages for Tipped Employees 2026-07-01
CT,statewide,hotel,16.94,10.56,6.38,ct_hotel,not_specified,Hotel/restaurant cash $6.38,DOL-WHD-TIP-2026-07-01,DOL WHD Minimum Wages for Tipped Employees 2026-07-01
CT,statewide,bartender,16.94,8.71,8.23,ct_bartender,not_specified,Bartenders who customarily receive tips cash $8.23,DOL-WHD-TIP-2026-07-01,DOL WHD Minimum Wages for Tipped Employees 2026-07-01
DE,statewide,default,15.00,12.77,2.23,reduced,more_than_30_month,Cash $2.23,DOL-WHD-TIP-2026-07-01,DOL WHD Minimum Wages for Tipped Employees 2026-07-01
DC,statewide,default,18.40,8.10,10.30,reduced,not_specified,Cash at least 56% of MW (fn.3),DOL-WHD-TIP-2026-07-01,DOL WHD Minimum Wages for Tipped Employees 2026-07-01
FL,statewide,default,14.00,3.02,10.98,reduced,more_than_30_month,DOL July 1 table; remaining $15 MW step 2026-09-30 does not invent a new cash wage,DOL-WHD-TIP-2026-07-01,DOL WHD Minimum Wages for Tipped Employees 2026-07-01
GA,statewide,default,7.25,5.12,2.13,flsa,more_than_30_month,State MW law does not apply to tipped employees; FLSA cash $2.13,DOL-WHD-TIP-2026-07-01,DOL WHD Minimum Wages for Tipped Employees 2026-07-01
HI,statewide,default,16.00,1.25,14.75,reduced,,Credit only if cash+tips are at least $7.00 more than MW (HI footnote),DOL-WHD-TIP-2026-07-01,DOL WHD Minimum Wages for Tipped Employees 2026-07-01
